,
Ancalagon the Black,
Chrysophylax Dives,
Dagurashibanipal,
Dragon,
Drogon,
Ember Hill,
Errol,
Faranth,
Fírnen,
Glaedr,
Glaurung,
Griffin,
Heavenly Beings,
Icefyre,
Igjarjuk,
Katla,
Montague Bunsen-Burner,
Mnementh,
Moon,
Norberta,
Pyralspite,
Ramoth,
Rhaegal,
Ruth,
Saphira,
Slathborg,
Smaug,
Temeraire,
Terezi's Lusus,
Thorn,
Tintaglia,
Eldrax,
Viserion,
Various dragons,
Various Dragons,
Acnologia,
Albion,
Alfred,
Chibisuke,
Cordelia,
Dragon,
The Dragon,
Dragon Man,
Ddraig,
Dragon of the Moon,
Dulcy,
Fafnir,
Fin Fang Foom,
Grandeeney,
The Great Red Dragon,
Igneel,
Lockheed,
Kozuki Momonosuke,
Llewellyn,
Long,
Metalicana,
Nid Hogg,
Porunga,
Pyralspite,
Rocky,
Sennenryu,
Shenron, (Shenlong)
Shou-Lao,
Skiadrum,
Tohru,
Weisslogia,
Wormy,
Bio Dragon,
Buraki,
Dagahra,
Desghidorah,
Draco,
"Drake, Griffin",
Drago,
Dragonstorm,
Fafnir,
Falkor,
Golden Dragon,
Grand King Ghidorah,
Keizer Ghidorah,
King Ghidorah,
Smaug,
Vermithrax Pejorative,
Unnamed, dragons
Unnamed, dragons
Aithusa,
Drogon,
Kilgharrah,
Mizunoeno Dragon,
Natsunomeryu,
Pufnstuf,
Pyre,
Scorch,
Tamba,
Devon & Cornwall,
Discord,
Dragon,
Elliott,
Goliath,
Haku,
Light Fury,
Maleficent,
Mushu,
Nazboo,
Predaking,
Spike,
Stormfly,
Summer,
Tabaluga,
Terezi's Lusus,
Tiamat,
Toothless,
Trogdor,
Whimsey Weatherbe,
Winger,
Alduin,
"Alexstrasza, The Life Binder",
Archdemons,
Aurene,
Bahamut,
Blotworx Dragon,
Cynder,
Darby,
"Deathwing, The Destroyer",
Dracolich,
Dragon Knight,
Draigoch,
Elvarg,
Ender Dragon,
Enywas,
Feyrbrand,
Flammie,
Grigori,
Grima,
Kalameet,
Kasimir Æthelinde,
"Malygos, The Spellweaver",
Minerva,
Naga,
Necrosan,
Nightshade,
"Nozdormu, The Timeless One",
Paarthurnax,
Ridley,
Seath the Scaleless,
Singe,
Spyro,
Synn,
"Tathamet, The Prime Evil",
Tiamat,
Trag'Oul,
Tweek the Dragon,
Ur Dragon,
Volvagia,
"Ysera, The Dreamer",
